t,mean_latency,var_latency,queue_size
811,0.198095,0.0024044,1000
812,0.197639,0.00242082,1000
813,0.19797,0.00249317,1000
814,0.2012,0.00251195,1000
815,0.200446,0.00250816,1000
816,0.199486,0.00258534,1000
817,0.200636,0.00255185,1000
818,0.200252,0.00258269,1000
819,0.198664,0.00250174,1000
820,0.20004,0.00251173,1000
821,0.201359,0.00236427,1000
822,0.200485,0.00244787,1000
823,0.199776,0.00248587,1000
824,0.199868,0.00250316,1000
825,0.199747,0.00245735,1000
826,0.200577,0.00245006,1000
827,0.200923,0.00239881,1000
828,0.199212,0.00247114,1000
829,0.201915,0.00235753,1000
830,0.199047,0.00235224,1000
831,0.198755,0.00246575,1000
832,0.200164,0.00254953,1000
833,0.199291,0.00258878,1000
834,0.199065,0.00249047,1000
835,0.200681,0.00247504,1000
836,0.200626,0.00257237,1000
837,0.201917,0.00258735,1000
838,0.199537,0.0025231,1000
839,0.199896,0.00264253,1000
840,0.198921,0.00250668,1000
841,0.199508,0.00241154,1000
842,0.200816,0.0024037,1000
843,0.199072,0.00257188,1000
844,0.199596,0.0025192,1000
845,0.200319,0.0026387,1000
846,0.200591,0.00253084,1000
847,0.201853,0.00249761,1000
848,0.199996,0.00240815,1000
849,0.200306,0.00247828,1000
850,0.199214,0.00254058,1000
851,0.200997,0.00251049,1000
852,0.200542,0.00250331,1000
853,0.201721,0.00248646,1000
854,0.200146,0.00249394,1000
855,0.200902,0.00251306,1000
856,0.201434,0.00250655,1000
857,0.198863,0.00260522,1000
858,0.200675,0.00248738,1000
859,0.200701,0.00248735,1000
860,0.20001,0.00246323,1000
861,0.200072,0.00240763,1000
862,0.200629,0.00267182,1000
863,0.202007,0.00248992,1000
864,0.201685,0.00248814,1000
865,0.200414,0.00228758,1000
866,0.199777,0.00253427,1000
867,0.199501,0.00248714,1000
